shiftA1,shiftB1,shiftC1,shiftD1,shiftE1,shiftF1,shiftG1,shiftH1,shiftI1,shiftJ1,shiftK1,shiftA2,shiftB2,shiftC2,shiftD2,shiftE2,shiftF2,shiftG2,shiftH2,shiftI2,shiftJ2,shiftK2,shiftA3,shiftB3,shiftC3,shiftD3,shiftE3,shiftF3,shiftG3,shiftH3,shiftI3,shiftJ3,shiftK3,shiftA4,shiftB4,shiftC4,shiftD4,shiftE4,shiftF4,shiftG4,shiftH4,shiftI4,shiftJ4,shiftK4,shiftA5,shiftB5,shiftC5,shiftD5,shiftE5,shiftF5,shiftG5,shiftH5,shiftI5,shiftJ5,shiftK5,shiftA6,shiftB6,shiftC6,shiftD6,shiftE6,shiftF6,shiftG6,shiftH6,shiftI6,shiftJ6,shiftK6,shiftA7,shiftB7,shiftC7,shiftD7,shiftE7,shiftF7,shiftG7,shiftH7,shiftI7,shiftJ7,shiftK7
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
