,planHorizon,totalDurations,objective,taskPrios,costpps,totalTasks,totalResources
1,40,19,-2.0539214285714285,17.347500000000004,150.0,35,145
2,50,19,-2.038737142857143,17.938,150.0,35,144
3,60,19,-2.028614285714286,18.33166666666666,150.0,35,143
0,30,29,-3.0,0.0,180.0,1050,0
